codigo,Municipio,Consumo percapita,Perdas distribuicao,Producao,Consumo
2506806,Ingá,101.9,20.71,618.69,466.05
2506905,Itabaiana,120.9,51.73,1799.45,797.78
2507002,Itaporanga,84.1,44.1,1036.07,545.07
2507200,Itatuba,87.9,27.74,277.43,190.44
2507408,Jericó,80.9,12.55,169.91,141.16
2507705,Juazeirinho,114.8,22.69,507.93,373.04
2507804,Junco do Seridó,NA,NA,NA,NA
2508000,Juru,82,39.51,263.65,151.51
2508109,Lagoa,80.3,12.86,83.46,69.09
2508307,Lagoa Seca,84.1,40.62,635.68,358.58
2508406,Lastro,81.8,4.28,52.18,47.45
2508505,Livramento,86.3,13.96,162.25,132.62
2508554,Logradouro,46.9,49.5,73.21,35.12
2508703,Mãe D Água,396.9,4.8,461.24,439.12
2508802,Malta,81.5,51.68,349.31,160.35
2509008,Manaíra,80.3,34.12,355.77,222.67
2509156,Marizópolis,82.5,2.61,3579.63,3472.69
2509206,Massaranduba,85.3,47.83,263.17,130.44
2509370,Mato Grosso,75.8,25.49,38.76,27.95
2509396,Maturéia,50.8,31.96,136.2,88.04
2509404,Mogeiro,100.1,73.57,415.77,104.4
2509503,Montadas,NA,NA,0,0
2509602,Monte Horebe,77.2,12.51,115.88,96.32
2509701,Monteiro,96,17.03,1106.93,872.53
2509909,Natuba,82.4,20.88,136.5,102.59
2510006,Nazarezinho,NA,13.07,104.45,86.26
2510105,Nova Floresta,0,NA,0,0
2510204,Nova Olinda,83.9,52.44,258.32,116.71
2510303,Nova Palmeira,NA,NA,0,0
2510402,Olho D ÁGUA,95.2,48.47,316.5,154.93
2510501,Olivedos,73.2,38.96,110.65,64.16
2510600,Ouro Velho,81,39.62,107.21,61.5
2510659,Parari,88.1,5.43,33.35,29.96
2510709,Passagem,95.1,3.03,76.66,71.68
2510808,Patos,105,35.25,6660.19,4058.52
2510907,Paulista,93.8,73.13,571.69,145.91
2511004,Pedra Branca,537.2,0,700,500
2511103,Pedra Lavrada,85.8,31.04,177.54,116.3
2511301,Piancó,82.2,41.65,666,369.2
2511400,Picuí,82.5,39.16,731.11,422.58
2512002,Pocinhos,NA,73.13,222.95,56.91
2512036,Poço Dantas,76.7,33.53,36.49,23.04
2512077,Poço de José de Moura,72.3,23.96,99.73,73.87
2512101,Pombal,118.8,38.97,2397.49,1371.77
2512200,Prata,82.9,36.01,138.72,84.32
2512309,Princesa Isabel,41.3,24.03,360.4,260.1
2512408,Puxinanã,26.7,11.35,56.15,48.2
2512507,Queimadas,80.3,22.37,1198.69,883.97
2512606,Quixabá,92.6,42.3,55.02,30.16
2512705,Remígio,0,NA,0,0
2512747,Riachão,NA,NA,0,0
2512754,Riachão do Bacamarte,76.9,45.56,120.66,62.4
2512788,Riacho de Santo Antônio,0,NA,0,0
2512804,Riacho dos Cavalos,NA,NA,0,0
2513000,Salgadinho,146.1,10.9,79.21,69.68
2513109,Salgado de São Félix,104.3,54.19,378.37,164.65
2513158,Santa Cecília,NA,NA,NA,NA
2513208,Santa Cruz,78.8,15.14,145.39,118.23
2513307,Santa Helena,83.8,41.97,179.11,98.74
2513356,Santa Inês,151.2,15.79,95,80
2513406,Santa Luzia,95.4,23.71,683.53,490.77
2513505,Santana de Mangueira,87.4,46.76,179.22,90.65
2513604,Santana dos Garrotes,90.8,50.5,283.81,133.46
2513653,Joca Claudino,72,26.32,32.66,23.23
2513802,Santa Teresinha,85.9,45.13,182.19,94.97
2513851,Santo André,NA,NA,NA,NA
2513901,São Bento,90.3,45.48,1822.02,931.23
2513927,São Bentinho,75,54.12,212.05,91.21
2513943,São Domingos do Cariri,92,20.61,76.93,58.02
2513968,São Domingos de Pombal,NA,NA,NA,NA
2513984,São Francisco,70.5,11.44,46.12,39.42
2514008,São João do Cariri,84.6,28.21,162.78,111.02
2514107,São João do Tigre,NA,NA,NA,NA
2514206,São José da Lagoa Tapada,78.1,29.72,144.3,96.34
2514305,São José de Caiana,89.3,21.59,130.87,102.61
2514404,São José de Espinharas,90.3,51.99,147.69,67.36
2514503,São José de Piranhas,85.9,44.08,917.22,487.24
2514552,São José de Princesa,NA,NA,NA,NA
2514602,São José do Bonfim,87.1,27.57,93.38,64.25
2514651,São José do Brejo do Cruz,44.1,25.53,33.3,24.3
2514701,São José do Sabugi,83.4,16.94,129.6,102.26
2514800,São José dos Cordeiros,91.2,26.62,117.9,82.19
